,name,url,rating,review_count,price,discount,description
45,HOTLINE H310,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/o/n/h310-h310-hotline-original-imahfhdp66fbddmu.jpeg?q=70,3.5,"7,537 Ratings & 492 Reviews",₹469,53% off,32 MB RAM | 32 MB ROM4.57 cm (1.8 inch) Display0.3MP Rear Camera100 mAh BatteryThe Hotline Mobiles has 3 Months Manufacture’s Warranty & after Warranty period we would like to help our customers with the best possible service under low expenses
46,"POCO C75 5G (Aqua Bliss, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/2/g/-original-imahbr2cz5apcwze.jpeg?q=70,4.2,"1,55,390 Ratings & 6,765 Reviews","₹8,499",22% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
47,"realme P3 Lite 5G (Jade Green, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/u/v/-original-imahjhas8jcvacxu.jpeg?q=70,4.4,"10,179 Ratings & 404 Reviews","₹11,999",7% off,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display32MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
48,"realme Narzo 80 Lite 4G (Obsidian Black, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/e/a/-original-imahgkgxnr2yypmq.jpeg?q=70,4.3,"2,250 Ratings & 88 Reviews","₹8,999",,4 GB RAM | 64 GB ROM17.12 cm (6.74 inch) HD+ Display32MP Rear Camera6300 mAh Battery1 year brand Warranty
49,"MOTOROLA g05 (Plum Red, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/j/b/-original-imah83ezvx8m7hs6.jpeg?q=70,4.2,"80,318 Ratings & 4,810 Reviews","₹7,299",27% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5100 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
50,"realme P4 Power 5G (TransSilver, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/a/c/-original-imahjzf6gw6zwskp.jpeg?q=70,4.6,"1,878 Ratings & 175 Reviews","₹25,999",21% off,8 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display50MP + 8MP | Yes10001 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
51,"IQOO Z10X 5G (Ultramarine, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/k/c/-original-imahgzpkuv5hzyny.jpeg?q=70,4.4,"5,406 Ratings & 248 Reviews","₹18,563",9% off,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6500 mAh Battery1 Year on Handset and 6 Months on Accessories
52,"realme P4x 5G (Matte Silver, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/9/n/-original-imahgdr4shzrvcfh.jpeg?q=70,4.4,"7,635 Ratings & 580 Reviews","₹15,999",11% off,6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera7000 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
53,"REDMI A4 (Starry Black, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/h/f/a4-5g-a4-5g-redmi-original-imah6yhdg9kpnzgd.jpeg?q=70,4.3,"15,138 Ratings & 626 Reviews","₹10,378",13% off,4 GB RAM | 128 GB ROM17.48 cm (6.88 inch) Display50MP Rear Camera5160 mAh Battery1 Year
54,"MOTOROLA g57 power 5G (Pantone Fluidity, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/1/k/r/-original-imahhqjwsngwkksu.jpeg?q=70,4.4,"19,181 Ratings & 1,038 Reviews","₹14,999",16% off,8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 8MP Front Camera7000 mAh Battery6s Gen 4 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
55,Kechaoda K115,https://rukminim2.flixcart.com/image/312/312/xif0q/shopsy-mobile/t/e/p/k115-32-k115-kechaoda-32-original-imahhn5ukhhnguzj.jpeg?q=70,4.1,"43,672 Ratings & 2,718 Reviews",₹997,33% off,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB3.66 cm (1.44 inch) QVGA Display0.3MP + 0MP | 0MP Front Camera850 mAh BatteryNA Processor3 Months Company Warranty
56,LAVA A1 Josh,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/g/p/a1-josh-lf1011-lava-original-imahhsx3ugthbzzx.jpeg?q=70,4.2,"22,860 Ratings & 2,135 Reviews",₹999,28% off,4 MB RAM | 2 MB ROM | Expandable Upto 32 GB5.08 cm (2 inch) HVGA Display0MP | 0MP Front Camera1000 mAh BatteryMtk Processor1 Year Manufacturer Replacement Guarantee for Phone and 6 months Replacement for Accessories in the Box
57,"POCO M7 Pro 5G (Lavender Frost, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/g/z/-original-imah7jsp8bh3s4rv.jpeg?q=70,4.3,"38,049 Ratings & 2,715 Reviews","₹13,499",28% off,6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
58,"IQOO Z10 Lite 5G (Titanium Blue, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/y/0/z10-lite-5g-i2409-iqoo-original-imahk2pqg6ys7rdt.jpeg?q=70,4.2,"2,466 Ratings & 98 Reviews","₹11,365",12% off,4 GB RAM | 64 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty
59,LAVA A2 Smart,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/c/i/a2-smart-lf6004-lava-original-imahhxyfzmcywfzz.jpeg?q=70,4,642 Ratings & 39 Reviews,"₹1,204",22% off,4 MB RAM | 24 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) HVGA Display1.3MP + 0MP | 0MP Front Camera1200 mAh BatteryMtk Processor1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
60,"vivo T4x 5G (Marine Blue, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/n/v/-original-imahavdveeghweea.jpeg?q=70,4.5,"2,12,384 Ratings & 9,206 Reviews","₹15,499",13% off,6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories
